UniqueCarrier,OnTime,ArrDelay,Cancel
9E,62.4,34.6,3
AA,48.3,48.5,3.2
AQ,74.9,24.5,0.6
AS,57.1,41.2,1.7
B6,55.5,42.4,2
CO,51,47.5,1.5
DL,52,46.2,1.8
EV,54.2,43.7,2
F9,50.7,48.9,0.4
FL,53.9,45,1.1
HA,68.7,30.3,1
MQ,54.1,41.9,4
NW,53.3,45.7,1
OH,47.8,48.7,3.5
OO,58.9,38.7,2.4
UA,52.8,44.6,2.6
US,61.3,37,1.7
WN,59.7,39.1,1.2
XE,53.6,43.4,3
YV,52.6,43.5,3.8
